from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000250571,P10075,GLI4,GLI4,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000185730,Q9H7X3,ZNF696,ZNF696,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000179588,Q8IX07,ZFPM1,ZFPM1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000232960,P67870,CSNK2B,CSNK2B,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000164619,Q8N8U9,BMPER,BMPER,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000011376,Q15031,LARS2,LARS2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000185250,Q8IXY8,PPIL6,PPIL6,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000140519,Q9UBD6,RHCG,RHCG,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000130270,O60423,ATP8B3,ATP8B3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000285077,Q3KRB8,ARHGAP11B,ARHGAP11B,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000206525,Q9Y3N9,OR2W1,OR2W1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000135587,O60906,SMPD2,SMPD2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000158545,Q86VM9,ZC3H18,ZC3H18,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000204271,Q5JUX0,SPIN3,SPIN3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000172992,Q8WVC6,DCAKD,DCAKD,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000131943,Q9NSK7,C19orf12,C19orf12,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000243189,P28067,HLA-DMA,HLA-DMA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000124391,Q9P0M4,IL17C,IL17C,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000144791,Q9UGP4,LIMD1,LIMD1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000140521,P54098,POLG,POLG,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000197110,Q8IZI9,IFNL3,IFNL3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000213928,Q00978,IRF9,IRF9,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000163823,P32246,CCR1,CCR1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000206298,P28062,PSMB8,PSMB8,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000121807,P41597,CCR2,CCR2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000182916,Q9BRU2,TCEAL7,TCEAL7,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000181852,Q9H4P4,RNF41,RNF41,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000206515,P35410,MAS1L,MAS1L,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000121797,O00421,CCRL2,CCRL2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000185222,Q9UHQ7,TCEAL9,TCEAL9,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000225164,P48634,PRRC2A,PRRC2A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000283473,A0A1B0GVK7,FAM240A,FAM240A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000261652,H3BRN8,PIERCE2,PIERCE2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000183625,P51677,CCR3,CCR3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000136811,Q5BJF6,ODF2,ODF2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000166681,Q00994,BEX3,BEX3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000248333,P21127,CDK11B,CDK11B,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000145725,O43314,PPIP5K2,PPIP5K2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000224234,Q96KK4,OR10C1,OR10C1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000172476,Q8WXH6,RAB40A,RAB40A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000051523,P13498,CYBA,CYBA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000127152,Q9C0K0,BCL11B,BCL11B,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000188878,Q8TES7,FBF1,FBF1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000152795,O14979,HNRNPDL,HNRNPDL,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000197976,Q02040,AKAP17A,AKAP17A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000259224,P0C7Q6,SLC35G6,SLC35G6,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000206235,Q03519,TAP2,TAP2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000128487,Q5M775,SPECC1,SPECC1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000092330,Q9BSI4,TINF2,TINF2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000152705,Q86XQ3,CATSPER3,CATSPER3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000139579,Q9BQ15,NABP2,NABP2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000069011,P78337,PITX1,PITX1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000167508,P53602,MVD,MVD,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000196433,P46597,ASMT,ASMT,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000227046,Q9UER7,DAXX,DAXX,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000164692,P08123,COL1A2,COL1A2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000187240,Q8NCM8,DYNC2H1,DYNC2H1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000232397,Q96KK4,OR10C1,OR10C1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000185669,Q3KNW1,SNAI3,SNAI3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000164344,P03952,KLKB1,KLKB1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000250506,Q00526,CDK3,CDK3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000206324,Q99943,AGPAT1,AGPAT1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000257008,Q7Z601,GPR142,GPR142,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000145832,Q6ZT89,SLC25A48,SLC25A48,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000139540,Q6ZMH5,SLC39A5,SLC39A5,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000115414,P02751,FN1,FN1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000151475,Q9H0C2,SLC25A31,SLC25A31,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000181965,Q92886,NEUROG1,NEUROG1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000135596,Q8TDZ2,MICAL1,MICAL1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000231408,P01374,LTA,LTA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000158717,Q96A37,RNF166,RNF166,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000145824,O95715,CXCL14,CXCL14,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000214046,Q9BQ49,SMIM7,SMIM7,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000174915,Q9BVG9,PTDSS2,PTDSS2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000206283,O15212,PFDN6,PFDN6,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000147526,O75410,TACC1,TACC1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000227739,P07437,TUBB,TUBB,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000139645,Q8NB46,ANKRD52,ANKRD52,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000112365,O43167,ZBTB24,ZBTB24,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000236979,O14931,NCR3,NCR3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000127995,Q96PB1,CASD1,CASD1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000011083,Q99884,SLC6A7,SLC6A7,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000092098,Q96EP0,RNF31,RNF31,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000230514,Q15109,AGER,AGER,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000228177,O95873,C6orf47,C6orf47,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000135469,Q96MF6,COQ10A,COQ10A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000072954,Q9H6F2,TMEM38A,TMEM38A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000149089,Q96GX9,APIP,APIP,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000204221,O15213,WDR46,WDR46,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000106609,Q9NWD8,TMEM248,TMEM248,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000099822,Q9UL51,HCN2,HCN2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000156381,Q96BM1,ANKRD9,ANKRD9,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000154188,Q15389,ANGPT1,ANGPT1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000164070,O95757,HSPA4L,HSPA4L,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000162390,Q8WXI4,ACOT11,ACOT11,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000236353,P40425,PBX2,PBX2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000120875,Q13115,DUSP4,DUSP4,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000153814,Q86VZ6,JAZF1,JAZF1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000178860,O60682,MSC,MSC,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000089902,Q9UKL0,RCOR1,RCOR1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000206486,O60231,DHX16,DHX16,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000072134,O95208,EPN2,EPN2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000228712,Q92506,HSD17B8,HSD17B8,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000147251,Q5JSL3,DOCK11,DOCK11,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000166126,Q9BXJ7,AMN,AMN,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000234243,Q9Y4H4,GPSM3,GPSM3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000110435,O00330,PDHX,PDHX,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000012223,P02788,LTF,LTF,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000099821,O00411,POLRMT,POLRMT,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000172349,Q14005,IL16,IL16,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000174177,Q2VPK5,CTU2,CTU2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000126524,Q9Y3A5,SBDS,SBDS,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000019505,Q7L8C5,SYT13,SYT13,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000117448,P14550,AKR1A1,AKR1A1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000163825,Q9BQQ7,RTP3,RTP3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000070388,Q9HCT0,FGF22,FGF22,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000205238,Q495Y8,SPDYE2,SPDYE2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000165688,Q10713,PMPCA,PMPCA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000164729,Q8N808,SLC35G3,SLC35G3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000184616,P0DUX1,SPDYE12,SPDYE12,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000013375,O95394,PGM3,PGM3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198863,Q96C34,RUNDC1,RUNDC1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000232653,F8WBI6,GOLGA8N,GOLGA8N,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000164683,Q9Y5J3,HEY1,HEY1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000223355,Q99466,NOTCH4,NOTCH4,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000163827,Q9BYS8,LRRC2,LRRC2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000070423,Q9BV68,RNF126,RNF126,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000103429,Q9NZS9,BFAR,BFAR,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000142731,O00444,PLK4,PLK4,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000131323,Q13114,TRAF3,TRAF3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000240247,P59665,DEFA1B,DEFA1B,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000225845,Q9UIR0,BTNL2,BTNL2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000239839,P59666,DEFA3,DEFA3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000069764,O15496,PLA2G10,PLA2G10,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000227761,P46379,BAG6,BAG6,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000164816,Q01523,DEFA5,DEFA5,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000261667,H3BQJ8,LY6L,LY6L,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000086300,Q9Y5X0,SNX10,SNX10,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000130167,Q9UKR8,TSPAN16,TSPAN16,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000187954,P0DTL6,ZFTRAF1,ZFTRAF1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000230726,P01903,HLA-DRA,HLA-DRA,NA,from_to,RNA_to_Protein,RNA,Protein
