from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000199001,ENSG00000171150,hsa-mir-448,SOCS5,0.99,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207692,ENSG00000170185,hsa-mir-592,USP38,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000220205,hsa-mir-765,VAMP2,0.86,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000141682,hsa-mir-448,PMAIP1,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000175928,hsa-mir-557,LRRN1,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000178209,hsa-mir-765,PLEC,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000151748,hsa-mir-557,SAV1,0.83,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000180182,hsa-mir-641,MED14,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000185591,hsa-mir-765,SP1,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000011114,hsa-mir-765,BTBD7,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000161791,hsa-mir-765,FMNL3,0.97,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000157191,hsa-mir-765,NECAP2,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000142512,hsa-mir-765,SIGLEC10,0.74,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000100647,hsa-mir-448,SUSD6,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000092421,hsa-mir-765,SEMA6A,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207692,ENSG00000122779,hsa-mir-592,TRIM24,0.83,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000198976,ENSG00000113810,hsa-mir-429,SMC4,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000181852,hsa-mir-765,RNF41,0.87,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000085733,hsa-mir-448,CTTN,0.96,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000112242,hsa-mir-557,E2F3,0.9,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000202566,ENSG00000196850,hsa-mir-421,PPTC7,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000078269,hsa-mir-765,SYNJ2,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000146592,hsa-mir-448,CREB5,0.97,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000128891,hsa-mir-765,CCDC32,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000265154,ENSG00000117362,hsa-mir-151b,APH1A,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000257923,hsa-mir-765,CUX1,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000111540,hsa-mir-765,RAB5B,0.91,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000111540,hsa-mir-448,RAB5B,0.76,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000163848,hsa-mir-557,ZNF148,0.74,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207974,ENSG00000112531,hsa-mir-557,QKI,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000202566,ENSG00000112531,hsa-mir-421,QKI,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000064932,hsa-mir-765,SBNO2,0.82,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000143756,hsa-mir-765,FBXO28,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199001,ENSG00000152104,hsa-mir-448,PTPN14,1,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000216192,ENSG00000135870,hsa-mir-920,RC3H1,0.77,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000211581,ENSG00000185278,hsa-mir-765,ZBTB37,0.95,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207692,ENSG00000117523,hsa-mir-592,PRRC2C,0.83,Negative,miRNA-mRNA interaction,RNA,RNA
